a lexicalized text generation system	1
IIT (BHU) System	1
WordNet Website Development And Deployment	1
Attentive listening system	1
An Intelligent Text Adaptation Tool	1
TTC TermSuite A UIMA Application	1
CAVaT	1
Contextualized Embeddings and Treebank Embeddings	1
An Automatic Prosody Tagger	1
A Supervised Aggregation Framework	1
Conditional Markov Models and Classifiers	1
DiDi Labs End-to-end System	1
A flexible language learning platform	1
An End-to-End Deep Framework	1
web resources and other Wordnets	1
BITs system	1
Tree-Stack LSTM	1
Frantext TLFi and the software Stella	1
An Interpretable Neural Network	1
Mirror Instances and a Combined Convolutional Neural Network	1
ElasticSearch	1
A Biomedical Question Answering System	1
VALLEX 1.0	1
the MIRA Framework	1
a Spanish-Basque MT System	1
a DisCoCat	1
a Web-scale Linguistic Search Engine	1
a Context-Preserving Open Information Extraction System	1
A Rule-Based and MT-Oriented Approach	1
Deep Recurrent Neural Networks v2.0	1
a Process Grammar Processor	1
Multi-level Gated Recurrent Neural Network	1
Flexible Interfaces	1
the Regulus Development Environment	1
Acharya A Text Editor and Framework	1
Synchronous-CFG Driven Statistical MT	1
Evaluating a Bi-LSTM Model	1
A Position Encoding Convolutional Neural Network	1
a More Natural Multilingual Controlled Language Interface	1
IBM Model 2	1
Content Guided Answer Search System	1
JHU System Combination Scheme	1
the IRUS Natural Language Interface	1
the TransType2 project	1
A Natural Language Interface	1
a Web-based Architecture	1
African WordNet	1
Retrieval Memory	1
Confused Supervised LDA	1
the Moses Decoder	1
Natural Language Systems	1
A Psycholinguistically Motivated Parser	1
Random Forests and Recurrent Neural Networks	1
A Semantic Tagger	1
fast-paced interactive dialogue systems	1
a Virtual Human Dialogue System	1
MIME- NLG Support	1
Mixed Embeddings	1
A Reusable Lexical Database Tool	1
Multimodal Relational Tensor Network	1
A Multi-Task Incremental Learning Framework	1
Character-based Neural Embeddings	1
Fully Quantized Transformer	1
Word Alignment Tool	1
Graph Metric Embeddings	1
MT and Multilingual NLG Systems	1
the Anvil Tool	1
CLARIN	1
Deep Residual Networks	1
the brWaC	1
the Moses System	1
Neural machine translation system	1
Hierarchical Attention Prototypical Networks	1
VocBench 3	1
